handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/29506,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB062,"İtalya Krallığı General Konsolosluğu tarafından Fabiato Spridone adına hazırlanmış, doğum bilgilerini gösteren, 2 sene geçerliliği olan şehadetname.",,,,Open Access,Spridone Fabiato'nun vesikalık resmi ve sicil bilgilerini içermektedir.,,,,,,1941-09-08,SALT Research,İtalyanca - Italian; Türkçe - Turkish,Belge - Document,"22-28,6 cm; Typewritten; Printed",1,,,82588,Francesco Malfatti,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/29506
123456789/29563,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB070273,Note of the Italian Censor Committee.,,,,Open Access,,,,"On the note is placed a stamp of the Italian Censor Committee, Bureau of Rome.",,,,SALT Research,İtalyanca - Italian,Not - Note,Handwritten,1,,,82885,Emiliano Bugatti,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/29563
123456789/30583,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB083008,"Poem written by Michele Pecci, Elena Pecci late husband.",,,,Open Access,,,,,,,,SALT Research,İtalyanca - Italian,Belge - Document,"12-19,5 cm; Handwritten",1,,,82924,Francesco Malfatti,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30583
123456789/33231,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB027004,'Apogeumatinh'' newspaper: Article on popular medicene and usage of aperinnt (cathartic),,,,Open Access,,,,,,,,SALT Research,Yunanca - Greek,Kupür - Clipping,Printed,1,,,82015,Chistos Kyriakopoulos,,2011-00-00,,,İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/33231
123456789/30396,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB008,"Aurora Fabiato adına, Karanfil Mahallesi Karakuş Sokak  11 numaralı daire için, arazi vergisi mükelliflerine mahsus birinci ihbarname.",,,,Open Access,,,,,,,1941,SALT Research,Türkçe - Turkish,Belge - Document,"24,6-19,8 cm; Handwritten; Printed",1,1,,81953,Çiçek İlengiz,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30396
123456789/30399,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB014013,Telephone number and address of Eli Simeonidou. Call her for business.,,,,Open Access,Marshall plan in Greece: Private water company making research for sea water.,,,,,,,SALT Research,Yunanca - Greek,Belge - Document,Handwritten; Printed,2,1,,81972,Chistos Kyriakopoulos,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30399
123456789/32437,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029145,"Letter, G. Demetriou to Sp. Fabiato",,,,Open Access,"In order to issue K. Pirros's payment, a letter of procuration is required. Tax must be paid by Sp. Fabiato and the first instalment will be 40.000 greek dr. Lawyer requires briefing for Sp. Fabiato's furniture",,,A draft letter of procuration is enclosed to Sp. Fabiato,,,1937-10-30,SALT Research,Yunanca - Greek,Mektup - Letter,"21,4-29 cm; Typewritten",1,,,82238,Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32437
123456789/32447,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029247,"Letter, Ioannes Fabiato to Sp. Fabiato",,,,Open Access,Are going to a rendez-vous with G. Demetriou who is going to ask a letter of procuration from M. Iatrou. Her repply is not granted.,,,,,,1939-05-20,SALT Research,Yunanca - Greek,Mektup - Letter,"21,5-28,7 cm; Handwritten",2,,,82340,Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32447
123456789/32454,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029324,"(Copy) letter, Sp. Fabiato to the Red Cross Society in Geneve requiring update for his brother Alexandros Fabiato and his family.",,,,Open Access,,,,,,,1940-11-17,SALT Research,Fransızca - French,Mektup - Letter,"20,4-25,9 cm; Typewritten",1,,,82417,Çiçek İlengiz,,2011-00-00,,,Büyükada; İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32454
123456789/31394,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB015000,"Fabiato ailesi'ne ait mektuplar, faturalar ve çeşitli dokümanlar",,,,Open Access,,,,,,,,SALT Research,,Belge - Document,Handwritten,1,1,,81974,Çiçek İlengiz,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31394
123456789/31395,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB015016,Lettre originale écrit à Sp. Fabiato,,,,Open Access,Il indique que Mr. Gaston l'a informé sur leur réunion.,,,,,,1943-01-03,SALT Research,Fransızca - French,Mektup - Letter,"22-27,5 cm; Handwritten",2,2,,81990,Çiçek İlengiz,,2011-00-00,,,Pera,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31395
123456789/31397,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB022001,Bay Spiridon Fabiato adına Büyük Ada Çankaya Caddesi No:21 adresi için düzenlenmiş La Foncière yangın sigorta kumpanyası kontratı.,,,,Open Access,,,,,,,1940-07-01; 1941-04-13,SALT Research,Türkçe - Turkish,Belge - Document,Handwritten; Typewritten,2,1,,82002,Çiçek İlengiz,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31397
123456789/31398,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB022003,Dessin de la façade de la salle de danse de la villa Fabiato à Prinkipo.,,,,Open Access,,,,,,,1921-11-01,SALT Research,Fransızca - French,Belge - Document,"29,4-39,5 cm; Printed",2,1,,82004,Çiçek İlengiz,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31398
123456789/31399,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB022005,Invitation de mariage de la fille de Haim Surujon  Kler et le fils de Moise Ergas  Sami.,,,,Open Access,Bayan dul Haim Surujon ve Bayan dul Moise Ergas'ın evlatları Kler ve Sami'nin Fransızca ve Türkçe evlenme töreni davetyiyeleri.,,,,,,1938-07-01,SALT Research,Türkçe - Turkish,Davetiye - Invitation card,"10-15,8 cm; Printed",1,1,,82006,Çiçek İlengiz,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31399
123456789/31401,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB027005,'Apogeumatinh'' newspaper: Article on the significance to preserve fresh-aired rooms during winter.,,,,Open Access,,,,,,,,SALT Research,Yunanca - Greek,Kupür - Clipping,Printed,1,,,82016,Chistos Kyriakopoulos,,2011-00-00,,,İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31401
123456789/31400,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB027002,"Arora Scotto adına kesilmiş havale makbuzu, İstanbul Belediyesi Adalar Tahsil Şubesi makbuzu, Büyük Ada'da bulunan mülkün temizliğinin yapıldığına ilişkin makbuz.",,,,Open Access,,,,,,,1952-05-01; 1952-10-10,SALT Research,Türkçe - Turkish,Belge - Document,Handwritten; Typewritten,5,,,82013,Çiçek İlengiz,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31400
123456789/31406,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB028014,Drafts written during the lawyer's meeting,,,,Open Access,1) According to the italian-turkish treaty any pending heritage matters are arranged by the Italian Consul 2)Refet Bey (avukat) must use the genealogical tree from the italian consulate 3) The will (Gemma Fabiato) is valid because she was italian b) according to turkish law the will can be found among the Documents of the deseased c) waiting for the end of the trial,,,,,,1933-02-25,SALT Research,Yunanca - Greek,Belge - Document,Handwritten,1,,,82031,Chistos Kyriakopoulos,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31406
123456789/31407,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB028020,"(draft) Letter, Sp. Fabiato to Ah. Moschos requesting advises for renting his shops",,,,Open Access,Thanking him for his last letter and briefing him on the rent prices that has been offered by the potential renter,,,,,,1935-05-01,SALT Research,Yunanca - Greek,Belge - Document,Handwritten,2,,,82037,Chistos Kyriakopoulos,,2011-00-00,,,Büyükada; İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31407
123456789/31408,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB028032,"(Draft) letter, Sp. Fabiato to Ah. Moschos asking to take the necessary measures in favor of his court case against the Secretary (of state) in order not to pay a large sum of money",,,,Open Access,,,,,,,1937-10-19,SALT Research,Yunanca - Greek,Mektup - Letter,Handwritten,2,,,82049,Chistos Kyriakopoulos,,2011-00-00,,,Büyükada; İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31408
123456789/31411,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB028041,Copy of Sp. Fabiato's dept account towards Refet Bey and Ah. Moschos.,,,,Open Access,,,,,,,1938-02-01; 1932-09-08,SALT Research,Fransızca - French,Belge - Document,Handwritten,1,,,82058,Çiçek İlengiz,,2011-00-00,,,İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31411
123456789/31412,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB028048,Receipt of court expenses of Sp. and Aurora Fabiato signed by Ah. Moshos,,,,Open Access,"Lawsuits against Halit Bey, Triantafullo, Mihael Seferoğlu, Muhiddin Bey. Evictions of Nesim and Kemal",,,,,,1938-04-30; 1933-07,SALT Research,Yunanca - Greek,Belge - Document,Typewritten,2,,,82065,Chistos Kyriakopoulos,,2011-00-00,,,İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31412
123456789/31413,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB028062,"Letter, Dr. Manara to Sp. Fabiato extending his condolences for Gemma's death.",,,,Open Access,Dr. Manara is working at French Hospital in Şisli,,,,,,1932,SALT Research,İtalyanca - Italian,Belge - Document,Handwritten,4,,,82079,Emiliano Bugatti,,2011-00-00,,,Beyoğlu; İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31413
123456789/31414,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB028064,"Letter, ... to Aurora Fabiato",,,,Open Access,Anonymous author thanking for a received gift. Aggelos send his regards,,,,,,,SALT Research,Yunanca - Greek,Mektup - Letter,Handwritten,1,,,82081,Chistos Kyriakopoulos,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31414
123456789/31416,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029015,"(Copy) letter, Sp. Fabiato to K. Kyriakopoulos",,,,Open Access,"Sp. Fabiato explains his plans about the tenant of Aga Hamam house, who haven’t pay rent for a while. He asks for a Document proving Cemma’s right on the real estates after her sister’s death.",,,,,,1931-05-16,SALT Research,Fransızca - French,Mektup - Letter,"21,3-29,2 cm; Typewritten",2,,,82108,Çiçek İlengiz,,2011-00-00,,,İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31416
123456789/31417,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029016,"Letter, K. Georgakopoulos to Sp. Fabiato.",,,,Open Access,Extends his condolences for Antones Manarakes death and mails a copy of his will,,,,,,1931-06-16,SALT Research,Yunanca - Greek,Mektup - Letter,"12,5-9,9 cm; Handwritten",2,,,82109,Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31417
123456789/31421,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029031,Letter of Georgakopoulos to Spiridon Fabiato,,,,Open Access,Extends his condolences for Gemma Fabiato's,,,,,,1932-08-01,SALT Research,Yunanca - Greek,Mektup - Letter,"13,9-20,8 cm; Handwritten",4,,,82124,Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31421
123456789/31425,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029051,"(Copy) Letter, Sp. Fabiato to K. Georgakopoulos",,,,Open Access,Sp. Fabiato's stuff for the house of Kavalliote str. has been successfully stored. One of S. Fabiato' s friends is willing to assist with A. Manarakes estate,,,,,,1933-03-27,SALT Research,Yunanca - Greek,Mektup - Letter,"13,9-20,9 cm; Handwritten",2,,,82144,Chistos Kyriakopoulos,,2011-00-00,,,İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31425
123456789/31434,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029107,"(copy) Letter, G. Toman to Sp. Fabiato asking a letter of procuration to be sent as quickly as possible to Fabiato's lawyers in order to proceed with opening  the safe-deposit box",,,,Open Access,,,,,,,1936-06-27,SALT Research,Yunanca - Greek,Mektup - Letter,"16,8-20,8 cm; Handwritten",2,,,82200,Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31434
123456789/31433,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029106,"(copy) Letter, Sp. Fabiato to K. Georgakopoulos",,,,Open Access,Deliver company suggested by Don Salacha is too expensive to move his things from Athens (14-15 turkish lira per packet) so asks K. Georgakopoulos to turn it down,,,Greek in latin alphabet,,,1936-05-23,SALT Research,Yunanca - Greek,Mektup - Letter,"19,5-27,8 cm; Typewritten",1,,,82199,Chistos Kyriakopoulos,,2011-00-00,,,Büyükada; İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31433
123456789/31438,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029138,"Letter, Ioannes Fabiato to Sp. Fabiato",,,,Open Access,"Having inspected the warehouse (Psarron 4, Athens) described the poor and messy condition of his furniture.It would be difficult to sell them in a good price",,,,,,1937-07-26,SALT Research,Yunanca - Greek,Mektup - Letter,"22,4-28,5 cm; Handwritten",2,,,82231,Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31438
123456789/31439,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029141,"Letter, Ioannes Fabiato to Sp. Fabiato",,,,Open Access,"Due to lack of space and money, denies to accept, on behalf of Sp. Fabiato, his furnitures and safekeep them in his house. Ioannes is relactunt to involve in the case of saling the furniture",,,,,,1937-08-13,SALT Research,Yunanca - Greek; Fransızca - French,Mektup - Letter,"22,4-28,4 cm; Handwritten",2,,,82234,Çiçek İlengiz - Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31439
123456789/31444,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029155,"Letter, G. Demetriou to Sp. Fabiato mailing the revised draft letter of procuration along wih a draft letter required by the Bank of Athens.Awaits instructions for his furniture",,,,Open Access,,,,,,,1938-02-01,SALT Research,Yunanca - Greek,Mektup - Letter,"13,9-21,7 cm; Typewritten",1,,,82248,Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31444
123456789/31443,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029154,"(draft) Letter, Sp. Fabiato to Paris Fabiato",,,,Open Access,"requesting to check his things (both from Cavallioti str. and Manarakes's estate) in the warehouse. In case that not every thing, according to the inventories, will not be found, he sould ask the lawyers. Specially interested on some chests",,,,,,1938-01-28,SALT Research,Yunanca - Greek,Mektup - Letter,"13,5-21,3 cm; Handwritten",4,,,82247,Chistos Kyriakopoulos,,2011-00-00,,,Büyükada; İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31443
123456789/31450,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029176,"(copy) Account of money (10.000 dr.) paid to Ioannes Fabiato for expenses. 5.399,90 greek dr. will be returned to Sp. Fabiato",,,,Open Access,,,,,,,1938-07-09,SALT Research,Yunanca - Greek,Belge - Document,14-18 cm; Handwritten,1,,,82269,Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31450
123456789/31449,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029170,"(draft) Letter, Sp. Fabiato to K. Georgakopoulos",,,,Open Access,Requires to know if  the K. Pirros case is finalized by G. Demetriou and repeats his request for the distribution of the first instalment,,,,,,1938-06-09,SALT Research,Yunanca - Greek,Mektup - Letter,"13,6-21,1 cm; Handwritten",2,,,82263,Chistos Kyriakopoulos,,2011-00-00,,,Büyükada; İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31449
123456789/31448,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029169,"Letter, G. Demetriou to Sp. Fabiato",,,,Open Access,Bank of Athens further requests: 1)a Document authorized by the Italian Consulate of İstanbul in order to prove that no other wills of Gemma Fabiato existed and 2) a Document proving that Spiridon and Aurora are the only legal acceptors of the will. Requests guidelines for his things in the warehouse,,,,,,1938-06-01,SALT Research,Yunanca - Greek,Mektup - Letter,"14-21,7 cm; Handwritten",2,,,82262,Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31448
123456789/31453,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029182,"Letter, Ioannes Fabiato to Sp. Fabiato announcing Ioannas Fabiato, Ioannes' daughter, marriage with Jean Valley .",,,,Open Access,,,,,,,1938-10-30,SALT Research,Yunanca - Greek,Mektup - Letter,"23,4-29,6 cm; Handwritten",1,,,82275,Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31453
123456789/31461,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029251,"(Draft) Letter, Sp. Fabiato to Ioannes Fabiato",,,,Open Access,He informs Ioannes Fabiato that he took the procuration.,,,,,,1939-07-17,SALT Research,Fransızca - French; Yunanca - Greek,Mektup - Letter,"12,7-19,5 cm; El yazısı - Handwriting",1,,,82344,Çiçek İlengiz - Chistos Kyriakopoulos,,2011-00-00,,,Istanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31461
123456789/31462,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029255,"Letter, G. Demetriou to Sp. Fabiato",,,,Open Access,M. Iatrou's disease and the absence of her lawyer postponed the requested letter of procuration. Bank of Athens insists on obtaining the requested documents.,,,,,,1939-08-01,SALT Research,Yunanca - Greek,Mektup - Letter,"21,7-29,1 cm; Handwritten",1,,,82348,Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31462
123456789/31466,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029267,"(Draft) letter, Sp. Fabiato to G. Demetriou",,,,Open Access,Sends part of the requested documents and asks if the pending documents are not already in K. Georgakopoulos files.,,,,,,1939-10-01,SALT Research,Yunanca - Greek,Mektup - Letter,"16,9-20,8 cm; Handwritten",2,,,82360,Chistos Kyriakopoulos,,2011-00-00,,,Büyükada; İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31466
123456789/31471,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029301,"(Draft) letter, Sp. Fabiato to K. Georgakopoulos extending his gratitude for the requested letter of procuration. He is going to prepare the special letter of procuration for his lawyers in Athens.",,,,Open Access,,,,,,,1940-02-01,SALT Research,Yunanca - Greek,Mektup - Letter,"16,8-20,6 cm; Handwritten",1,,,82394,Chistos Kyriakopoulos,,2011-00-00,,,Büyükada; İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31471
123456789/31472,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029311,Receipt issued by Sp. Fabiato who received 1143 Turkish lira from Vasileio Kamarioth by the order of Antones Kalvokirises.,,,,Open Access,,,,One 5 kurus Turkish stamp,,,1940-05-19,SALT Research,Yunanca - Greek,Belge - Document,"13,9-16,2 cm; Handwritten",1,,,82404,Chistos Kyriakopoulos,,2011-00-00,,,Büyükada; İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31472
123456789/31473,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB029323,"Letter, Ioannes Fabiato to Sp. Fabiato denying to assume responsibility for his estate",,,,Open Access,"Ioannes asks Sp. Fabiato to contact K. Georgakopoulos and G. Demetriou. He suggests that the packet which was mailed by him, and has not yet been delivered, should be trasferred to the name of Aurora Fabiato.",,,,,,1940-10-26,SALT Research,Yunanca - Greek,Mektup - Letter,"21,2-28,3 cm; Handwritten",3,,,82416,Chistos Kyriakopoulos,,2011-00-00,,,Athens,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31473
123456789/34221,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB015017,Copie de la lettre écrit par Sp. Fabiato au Comptoir Général du Levant.,,,,Open Access,Il informe qu'il a decidé de confier la gerande de ses affaires au Comptoir.,,,,,,1922-09-07,SALT Research,Fransızca - French,Mektup - Letter,Typewritten,3,3,,81991,Çiçek İlengiz,,2011-00-00,,,Prinkipo,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34221
123456789/34222,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB019000,"Dossier, immeuble  Balouk Bazar  Prinkipo, du 1er Juin 1931 au -.",,,,Open Access,,,,,,,1931-06-01,SALT Research,Fransızca - French,Belge - Document,"23,6-31,6 cm; Handwritten",1,2,,81996,Çiçek İlengiz,,2011-00-00,,,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34222
123456789/34229,"City, Society, and Economy / Households and Families / Fabiato / Documents",AFMFB028030,Sp. Fabiato's drafts,,,,Open Access,draft about the future situation of Fabiato's estate after the family members death.,,,,,,1937-08-01,SALT Research,Fransızca - French,Belge - Document,Handwritten,1,,,82047,Çiçek İlengiz,,2011-00-00,,,İstanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/34229
