handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/30385,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC063,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, borcun tediye edilerek hesaplarına kayıt edildiğini haber veren mektup.",,,,Open Access,,,,,,,1931-01-08,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45450,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30385
123456789/30386,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC067,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen Hüseyin Galib Bey’in hastalandığını haber veren mektup.",,,,Open Access,,,,,,,1931-04-25,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-22,5 cm; Handwritten; Printed",1,,,45454,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30386
123456789/30387,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC069,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Emin Vafi Bey’in geçirdiği kaza için geçmiş olsun mektubu.",,,,Open Access,,,,,,,1931-07-09,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-22,5 cm; Handwritten; Printed",1,,,45456,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30387
123456789/30388,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC077,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen bayram tebriği mektubu.",,,,Open Access,Mektupta bir miktar paranın Ali Vafi mahdumları hesabına yatırıldığından da bahsedilmektedir.,,,,,,1932-02-11,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29-22,5 cm; Handwritten; Printed",1,,,45464,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30388
123456789/30389,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC084,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Mösyö Seniner’in geldiğini daha sonra Atina’ya hareket ettiğini açıklayan mektup.",,,,Open Access,,,,,,,1932-06-19,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29-22,5 cm; Handwritten; Printed",1,,,45471,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30389
123456789/30390,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC092,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, tütün ve kahve hakkında malumat içeren mektup.",,,,Open Access,,,,,,,1933-08-05,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-23 cm; Handwritten; Printed",1,,,45479,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/30390
123456789/31376,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC008,"Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi İzmir Şirketi’nden Dersaadet’de tüccar-ı mutebereden Ali Vafi mahdumlarına gönderilen, Atina Vapuru’yla şirketlerine susam ve hurma aldıklarına, zeytinyağı fiyatlarına dair mektup.",,,,Open Access,,,,16 Kanun-i Evvel 1340,,,1924-12-16,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,27-21 cm; Handwritten; Printed,1,,,45395,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31376
123456789/31377,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC012,"Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, şeker alımı ve fiyatları ile ilgili mektup.",,,,Open Access,,,,28 Nisan 1342,,,1926-04-28,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-23 cm; Handwritten; Printed",1,,,45399,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31377
123456789/31378,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC022,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Valex İçin Rus mümessillerle görüşüp alış-satış için vesika isteneceğini belirten mektup.",,,,Open Access,,,,,,,1928-06-16,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"27,5-21,5 cm; Handwritten; Printed",1,,,45409,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31378
123456789/31379,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC028,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, incir siparişi ile ilgili mektup.",,,,Open Access,,,,,,,1928-10-08,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45415,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31379
123456789/31380,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC034,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi’nden İstanbul’da Ticaret-i Emin’den Ali Vafi mahdumlarına gönderilen, Rusya’ya yollanan incirin vapur ve sigorta şehadetnamelerinin beraberinde gönderildiği mektup.",,,,Open Access,,,,,,,1928-11-04,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45421,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31380
123456789/31381,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC035,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, daha önce yazılması emir buyrulan mektubun Baruh İzak Yaruzamli’ye yazıldığını haber veren mektup.",,,,Open Access,,,,,,,1928-12-10,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45422,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31381
123456789/31382,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC055,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, sağanak yağmur nedeniyle mağazalarını su bastığını haber veren mektup.",,,,Open Access,,,,,,,1930-10-26,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45442,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31382
123456789/31383,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC056,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketinden tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, yağmur nedeniyle üzüm ve incirlerin ziyan olduğuna, geri kalan mallarına zam yapıldığına dair mektup.",,,,Open Access,,,,,,,1930-10-30,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45443,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31383
123456789/31384,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC059,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Tayyar Vapuru gelince Valexleri yükleyeceklerini haber veren mektup.",,,,Open Access,,,,,,,1930-11-18,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45446,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31384
123456789/31385,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC061,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, valex faturalarının aynen kayıt edildiğini bildiren mektup.",,,,Open Access,,,,,,,1930-11-27,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45448,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31385
123456789/31386,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC070,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi’nden Vafi Beylere gönderilen, Mahsar Bey ile gönderilen mallar hakkındaki mektup.",,,,Open Access,,,,,,,1931-10-03,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-22,5 cm; Handwritten; Printed",1,,,45457,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31386
123456789/31387,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC072,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, merhum Vafi Bey’in akarat-ı hisselerini konu eden mektup.",,,,Open Access,,,,,,,1931-11-29,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-22,5 cm; Handwritten; Printed",1,,,45459,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31387
123456789/31388,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC073,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına kendilerini misafir ettikleri için gönderilen teşekkür mektubu.",,,,Open Access,,,,,,,1932-01-02,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-22,5 cm; Handwritten; Printed",1,,,45460,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31388
123456789/31389,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC079,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi’nden tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Vafi mahdumları anneleri için Zehra Binti Ali namında yetim bir besleme kız gönderdiklerine dair mektup.",,,,Open Access,,,,,,,1932-04-02,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29,5-22,5 cm; Handwritten; Printed",1,,,45466,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31389
123456789/31390,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC086,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, üzüm ve incir fiyatları ile ilgili malumat içeren mektup.",,,,Open Access,,,,,,,1932-09-22,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"29-22,5 cm; Handwritten; Printed",1,,,45473,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/31390
123456789/32374,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC004,Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi İzmir Şirketi’nden Dersaadet’de tüccar-ı mutebereden Ali Vafi mahdumlarına gönderilen zeytinyağı siparişi ile ilgili mektup.,,,,Open Access,,,,4 Ağustos 1340,,,1924-08-04,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-21,5 cm; Handwritten; Printed",1,,,45391,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32374
123456789/32375,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC010,"Şerbetçizade Hüseyin Galib ve Şürekası Ali Vafi İzmir Şirketi’nden Dersaadet’de tüccar-ı mutebereden Ali Vafi mahdumlarına gönderilen, Selanik Bankası Maarıfetiyle on bin lira gönderildiğini belirten mektup.",,,,Open Access,,,,11 Ağustos 1341,,,1925-08-11,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"27-20,5 cm; Handwritten; Printed",2,,,45397,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32375
123456789/32376,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC020,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, palamut hülasası ve Valex hakkında yazılan mektup.",,,,Open Access,,,,,,,1928-05-16,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"27,5-21,5 cm; Handwritten; Printed",1,,,45407,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32376
123456789/32377,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC024,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi’nden tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Bursa’ya yollanan buğday numunelerine satıcı çıktığına, üzümlerin Adnan Vapuru’yla gönderilidiğine dair mektup.",,,,Open Access,,,,,,,1928-09-19,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45411,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32377
123456789/32378,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC042,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, zeytinyağı ile ilgili haberler içeren mektup.",,,,Open Access,,,,,,,1929-01-13,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22 cm; Handwritten; Printed",1,,,45429,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32378
123456789/32379,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC048,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen,Adnan Bey Vapuru ile incir gönderildiğini haber veren mektup.",,,,Open Access,,,,,,,1930-09-16,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45435,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32379
123456789/32380,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC053,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Tayyar Vapuru'na çekirdeksiz üzüm ve incirleri yüklediklerini",,,,Open Access,,,,,,,1930-10-16,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45440,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32380
123456789/32381,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC060,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, Londra Sefaretine tayinleri için tebrik mektubu.",,,,Open Access,Mektupta incir ve valexler hakkında bilgi verilmiştir.,,,,,,1930-11-22,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45447,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32381
123456789/32382,"City, Society, and Economy / Households and Families / Şerbetçizâde / Documents",AFMSEDOC064,"Şerbetçizade Hüseyin Galib, Beyanaki Sırrı Spatharzade Halim ve Şürekası İzmir Şirketi'nden İstanbul'da tüccar-ı muteberesinden Ali Vafi mahdumlarına gönderilen, bazı tüccarların iflas ettiğine ayrıca zeytinyağı ve valex fiyatlarına dair mektup.",,,,Open Access,,,,,,,1931-01-19,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"28,5-22,5 cm; Handwritten; Printed",1,,,45451,HILALS,,20.07.2009,,20.07.2009,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/32382
